,Name,Manufacturer:,Cores:,Memory:,Processor:,Interconnect:,Linpack Performance (Rmax),Theoretical Peak (Rpeak),Nmax,HPCG [TFlop/s],Power Measurement Level:,Operating System:,Compiler:,Math Library:,MPI:,Power:,Nhalf
0,"Summit - IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",IBM,"2,414,592","2,801,664 GB",IBM POWER9 22C 3.07GHz,Dual-rail Mellanox EDR Infiniband,"148,600 TFlop/s","200,795 TFlop/s","16,473,600","2,925.75",3,RHEL 7.4,"XLC, nvcc","ESSL, CUBLAS 9.2",Spectrum MPI,"10,096.00 kW",False
1,"Sierra - IBM Power System AC922, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",IBM / NVIDIA / Mellanox,"1,572,480","1,382,400 GB",IBM POWER9 22C 3.1GHz,Dual-rail Mellanox EDR Infiniband,"94,640 TFlop/s","125,712 TFlop/s","11,902,464","1,795.67",2,Red Hat Enterprise Linux,IBM XLC,"ESSL, CUBLAS 9.2",IBM Spectrum MPI,"7,438.28 kW",False
2,"Sunway TaihuLight - Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway",NRCPC,"10,649,600","1,310,720 GB",Sunway SW26010 260C 1.45GHz,Sunway,"93,014.6 TFlop/s","125,436 TFlop/s","12,288,000",480.848,2,Sunway RaiseOS 2.0.5,False,False,False,"15,371.00 kW",False
3,"Tianhe-2A - TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000",NUDT,"4,981,760","2,277,376 GB",Intel Xeon E5-2692v2 12C 2.2GHz,TH Express-2,"61,444.5 TFlop/s","100,679 TFlop/s","9,773,000",False,1,Kylin Linux,icc,Intel MKL-11.0.0,MPICH2 with a customized GLEX channel,"18,482.00 kW",False
4,"Frontera - Dell C6420, Xeon Platinum 8280 28C 2.7GHz, Mellanox InfiniBand HDR",Dell EMC,"448,448","1,537,536 GB",Xeon Platinum 8280 28C 2.7GHz,Mellanox InfiniBand HDR,"23,516.4 TFlop/s","38,745.9 TFlop/s","9,262,848",False,False,CentOS Linux 7,Intel,Intel MKL 18.0.5,Intel MPI 18.0.5,False,False
5,"Piz Daint - Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",Cray/HPE,"387,872","365,056 GB",Xeon E5-2690v3 12C 2.6GHz,Aries interconnect,"21,230 TFlop/s","27,154.3 TFlop/s","3,743,232",496.978,3,Cray Linux Environment,False,False,False,False,False
6,"Trinity - Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect",Cray/HPE,"979,072",0 GB,Intel Xeon Phi 7250 68C 1.4GHz,Aries interconnect,"20,158.7 TFlop/s","41,461.2 TFlop/s","12,353,536",546.124,False,Cray Linux Environment,False,False,False,"7,578.10 kW",False
7,"AI Bridging Cloud Infrastructure (ABCI) - PRIMERGY CX2570 M4, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",Fujitsu,"391,680","417,792 GB",Xeon Gold 6148 20C 2.4GHz,Infiniband EDR,"19,880 TFlop/s","32,576.6 TFlop/s","2,918,016",508.854,2,Linux,False,False,False,False,False
8,"SuperMUC-NG - ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",Lenovo,"305,856","75,840 GB",Xeon Platinum 8174 24C 3.1GHz,Intel Omni-Path,"19,476.6 TFlop/s","26,873.9 TFlop/s","8,402,688",207.844,False,SUSE Linux Enterprise Server 12 SP3,False,False,False,False,False
9,"Lassen - IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",IBM / NVIDIA / Mellanox,"288,288","253,440 GB",IBM POWER9 22C 3.1GHz,Dual-rail Mellanox EDR Infiniband,"18,200 TFlop/s","23,047.2 TFlop/s","5,059,584",False,False,Red Hat Enterprise Linux,IBM XLC,"ESSL, CUBLAS 10.1",IBM Spectrum MPI,False,False
